district.x,school.x,school_id,grad_percent_17,grad_percent_21,change_over_time,percent_change_over_time
"Horry County
Schools","Palmetto Academy Of
Learning Motorsports
(Palm)",2601604,43.902439024,70,26.097560975999997,59.44444444586172
"South Carolina
Public Charter
School District",SC Whitmore School,4701014,35.638297872,58.851674641,23.213376769,65.13604227781622
"Richland School
District Two",Richland Two Charter High,4002600,33.333333333,55.555555556,22.222222223000003,66.66666666966667
"Charleston
County School
District",Greg Mathis Charter High,1001615,17.021276596,37.037037037,20.015760440999998,117.5925925891111
"Richland School
District One",W.J. Keenan High School,4001012,69.613259669,85.333333333,15.720073663999997,22.582010580665884
"Spartanburg
School District
Three",Broome High School,4203026,78.448275862,91.85520362,13.406927757999995,17.09014966955348
"School District
Of Newberry
County","Whitmire Community
School",3601004,81.081081081,94.339622642,13.258541561000001,16.352201258583023
"Darlington
County School
District",Darlington High School,1601030,77.441077441,89.230769231,11.789691789999992,15.224080267971734
"Richland School
District One",Columbia High School,4001002,79.333333333,90.769230769,11.435897436000005,14.4149967681278
"Florence One
Schools","South Florence High
School",2101004,80.882352941,92.287234043,11.404881102000004,14.100580271594406
"Chester County
School District",Great Falls High School,1201005,77.777777778,89.130434783,11.352657004999998,14.59627329210115
"Jasper County
School District","Ridgeland-Hardeeville High
School",2701013,73.595505618,84.31372549,10.718219871999992,14.563688070346686
"The School
District Of
Greenville
County",Woodmont High School,2301023,83.415841584,93.401015228,9.985173644,11.970356534669616
"Charleston
County School
District",Military Magnet Academy,1001018,87.5,97.435897436,9.935897436000005,11.355311355428576
"Charleston
County School
District",R.B. Stall High,1001022,63.803680982,73.115577889,9.31189690699999,14.594607652224672
"Clarendon
School District
Two",Manning High School,1402007,79.425837321,88.349514563,8.923677241999997,11.235232190168674
"Richland School
District One","Lower Richland High
School",4001013,76.751592357,85.512367491,8.760775134,11.414453908982628
"Kershaw County
School District",North Central High School,2801003,81.02189781,89.719626168,8.697728358000006,10.735034099542535
"Beaufort County
School District",Bluffton High School,0701030,82.712765957,91.408934708,8.696168751000002,10.513695981973195
"Beaufort County
School District","Whale Branch Early
College High School",0701036,83.916083916,92.523364486,8.60728057,10.257009345926923
"Horry County
Schools",Myrtle Beach High School,2601010,75.652173913,84.155844156,8.503670243000002,11.240483654546694
"Beaufort County
School District","Battery Creek High School,
Beaufort County School
District",0701004,77.375565611,85.869565217,8.493999606000003,10.977625221769577
"Bamberg
School District 2",Denmark Olar High School,0502007,69.090909091,77.5,8.409090909,12.171052631431353
"Florence One
Schools",Wilson High School,2101006,83.448275862,91.666666667,8.218390804999999,9.84848484897508
"Richland School
District One",Eau Claire High School,4001005,71.597633136,79.72027972,8.122646583999995,11.344853493370366
"Georgetown
County School
District",Carver Bay High School,2201026,83.157894737,91.011235955,7.853341217999997,9.44389133808333
"Dorchester
District Four",Woodland High School,1804019,87.412587413,95.209580838,7.796993424999997,8.919760478157896
"Dorchester
School District
Two",Summerville High School,1802006,84.020618557,91.509433962,7.488815404999997,8.913068641502022
"Horry County
Schools","Green Sea Floyds High
School",2601006,76.19047619,82.954545455,6.764069265000003,8.877840910367992
"Berkeley County
School District",Timberland High School,0801043,76.571428571,83.229813665,6.658385093999996,8.695652175048666
"Dorchester
School District
Two","Fort Dorchester High
School",1802020,85.837651123,92.280071813,6.442420690000006,7.505355290731824
"Anderson
School District
One",Palmetto High School,0401001,86.080586081,92.213114754,6.132528672999996,7.124171607323185
"School District
Of Pickens
County",Easley High School,3901005,83.870967742,89.976689977,6.105722235000002,7.279899587879017
Hampton 2,Estill High School,2502011,84.375,90.243902439,5.868902438999996,6.9557362239999945
"Greenwood
School District
52",Ninety Six High School,2452025,84.426229508,90.09009009,5.663860581999998,6.7086503981127175
"Lexington
School District
Four",Swansea High School,3204034,71.962616822,77.586206897,5.623590074999996,7.814599195176548
"Horry County
Schools",Aynor High School,2601001,82.775119617,87.892376682,5.117257065000004,6.182119806866511
"Horry County
Schools",Conway High School,2601004,72.63681592,77.688172043,5.051356122999991,6.9542642515654896
"Chesterfield
County School
District",Mcbee High School,1301006,88.405797101,93.243243243,4.83744614199999,5.471865308191731
"Charleston
County School
District",North Charleston High,1001002,59.633027523,64.024390244,4.391362721,7.363977485976685
"Anderson
School District
Five","Anderson Five Charter
School",0405601,82.608695652,86.956521739,4.347826087000001,5.263157894800556
"Spartanburg
School District
Two",Boiling Springs High School,4202012,90.363636364,94.434470377,4.070834012999995,4.5049470968631535
"Berkeley County
School District",Goose Creek High,0801007,75,78.813559322,3.8135593220000032,5.084745762666671
"Spartanburg
School District
Two",Chesnee High School,4202013,84.795321637,88.55721393,3.7618922930000025,4.436438497284407
"Lee County
School District",Lee Central High School,3101013,84.662576687,88.28125,3.618673313000002,4.274230072607336
"Horry County
Schools",Socastee High School,2601011,81.10403397,84.397163121,3.2931291510000023,4.060376518655182
"Spartanburg
School District
Four",Woodruff High School,4204036,80,83.152173913,3.1521739129999986,3.9402173912499983
"Horry County
Schools",St. James High School,2601058,81.329923274,84.459459459,3.1295361850000063,3.8479517243076926
"Ware Shoals
School District
51",Ware Shoals High School,2451020,80.952380952,84.057971014,3.1055900620000045,3.836317135429824
"Richland School
District Two",Westwood High School,4002100,80.126182965,83.055555556,2.9293725910000035,3.655949257285332
"Charleston
County School
District","Charleston Charter School
For Math And Science",1001620,94.520547945,97.435897436,2.9153494910000006,3.0843552586009086
"Richland School
District One",A.C. Flora High School,4001007,87.257617729,90.12345679,2.8658390610000026,3.284342542906191
Saluda,Saluda High School,4101003,73.376623377,76.19047619,2.813852812999997,3.834808258405091
"Bamberg
School District 1","Bamberg-Ehrhardt High
School",0501001,88.596491228,91.346153846000007,2.749662618000002,3.1035795886361237
"School District
Five Of
Lexington &
Richland Count",Chapin High School,3205038,92.307692308,94.919786096,2.6120937879999957,2.829768270323896
"Aiken County
Public School
District",South Aiken High School,0201003,89.814814815,92.375366569,2.560551753999988,2.850923602385861
Lancaster,Buford High School,2901002,85.057471264,87.603305785,2.5458345210000033,2.9930757206480822
"Dorchester
School District
Two",Ashley Ridge High School,1802027,90.243902439,92.653061224,2.4091587850000025,2.669608383379103
"Cherokee
County School
District 1",Blacksburg High School,1101001,89.147286822,91.549295775,2.4020089530000064,2.6944274342258865
"Horry County
Schools","Carolina Forest High
School",2601052,79.901153213,82.258064516,2.356911303000004,2.9497838369328218
"Fort Mill School
District - York 4",Nation Ford High School,4604054,92.156862745,94.457274827,2.3004120820000082,2.496191833662239
"Richland School
District One",C A Johnson High School,4001011,71.962616822,74.226804124,2.2641873019999963,3.146338198901908
"Aiken County
Public School
District",Silver Bluff High School,0201001,86.705202312,88.957055215,2.2518529029999996,2.597137014797488
"School District
Of Newberry
County",Mid-Carolina High School,3601002,88.826815642,91.044776119,2.2179604770000054,2.496949216258167
"Greenwood
School District
50",Greenwood High School,2450002,84.819277108,86.979166667,2.159889559000007,2.546460701674962
"Abbeville
County School
District",Dixie High School,0160003,87.179487179,89.333333333,2.153846153999993,2.470588235484386
"School District
Of Pickens
County",Liberty High School,3901006,80.337078652,82.307692308,1.9706136559999976,2.452931683682699
"Anderson
School District
Five",Westside High School,0405048,79.475982533,81.25,1.774017466999993,2.2321428568226707
"Anderson
School District
Three",Crescent High School,0403022,89.72972973,91.503267974,1.7735382439999938,1.9765335851747625
"Barnwell School
District 45",Barnwell High School,0645009,83.687943262,85.350318471,1.6623752089999897,1.9863974955097512
"School District
Five Of
Lexington &
Richland Count",Spring Hill High School,3205057,95.379537954,97.003745318,1.624207364,1.7028886895880422
"Kershaw County
School District",Lugoff-Elgin High School,2801007,83.980582524,85.536159601,1.5555770769999953,1.8523056523874932
"Aiken County
Public School
District",North Augusta High School,0201012,89.50617284,91.002570694,1.4963978539999943,1.6718376023907695
Lancaster,Indian Land High,2901006,87.671232877,89.152542373,1.4813094960000086,1.6896186438694658
"Dillon School
District Three",Latta High School,1703019,83.495145631,84.87394958,1.3788039490000017,1.6513582179897184
"Florence One
Schools",West Florence Hs,2101014,88.705882353,90,1.294117646999993,1.458885941577274
"Spartanburg
School District
One",Chapman High School,4201002,93.013100437,94.262295082,1.2491946449999887,1.3430308624601734
"Anderson
District 4",Pendleton High School,0404027,86.111111111,87.336244541,1.2251334299999996,1.4227355961308676
"Aiken County
Public School
District",Midland Valley High School,0201006,89.508196721,90.661478599,1.1532818780000014,1.288465101799357
"Charleston
County School
District",St. Johns High,1001020,79.166666667,80.23255814,1.0658914729999935,1.3463892290469544
"Lexington
County School
District One",River Bluff High School,3201069,94.026548673,95.054945055,1.028396382000011,1.0937297992043797
"Charleston
County School
District",Burke High,1001010,78.048780488,78.899082569,0.8503020809999953,1.0894495412785203
"Anderson
School District
Five",T. L. Hanna High,0405038,88.009592326,88.796680498,0.7870881719999971,0.8943208929823365
"Georgetown
County School
District",Waccamaw High School,2201025,93,93.75,0.75,0.8064516129032258
"Laurens County
School District
55","Laurens District 55 High
School",3055004,81.050228311,81.769436997,0.7192086860000018,0.8873617027213136
"Clover School
District (York 2)",Clover High School,4602010,90.737240076,91.428571429,0.6913313529999954,0.76190476194884
"School District
Of Pickens
County",Pickens High School,3901008,80.446927374,81.072555205,0.6256278310000027,0.777690151037642
"South Carolina
Public Charter
School District",The Next School,4701039,76.923076923,77.419354839,0.4962779159999968,0.645161290800641
"Charleston
County School
District","Baptist Hill Middle High
School",1001001,82.142857143,82.456140351,0.3132832080000014,0.38138825321672976
"Laurens County
School District
56",Clinton High School,3056016,80.93220339,81.220657277,0.28845388700000285,0.35641422686836705
"Mccormick
County School
District",Mccormick High School,3301001,80.85106383,81.132075472,0.28101164199999573,0.3475670308938169
"Berkeley County
School District",Stratford High,0801001,81.235154394,81.510934394,0.27577999999999747,0.33948356725270956
