year,district,district_id,street,city,state,zip,gradespan,enrollment,hdphone,url,supername,chair,teacher_count,district_alt,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,e_pct_abc,e_pct_ab,e_pct_cd,e_pct_f,m_pct_abc,m_pct_ab,m_pct_cd,m_pct_f,sc_pct_abc,sc_pct_ab,sc_pct_cd,sc_pct_f,act_avg_english_score,act_avg_reading_score,act_avg_math_score,act_avg_science_score,act_avg_writing_score,act_avg_composite_score,pct_act,pct_college,pct_career,pct_cte,pct_wbl,pct_car_rdy,pct_met_prog,gpercent_overall,gpercent_race_w,gpercent_race_b,gpercent_race_h,gpercent_race_i,gpercent_race_a,dropout_rate_curr_yr,tchreturn3yr_avg_pct_curr_yr,tchadvdegree_pct_curr_yr,tchinexperienced_pct_curr_yr,tchsalary_avg_curr_yr,prime_instruct_time_curr_yr,gifted_pct_curr_yr,pct78hs_credit_curr_yr,princ_super_yrs_curr_yr,tech_pct_class_wireless_curr_yr,tech_oneto_one_curr_yr,retained_pct_curr_yr,chronic_absenteeism_rate_x,studentsin_poverty_pct_curr_yr,expendfor_instruct_pct_curr_yr,admin_salary_curr_yr,total_ppe_curr_yr,chronic_absenteeism_rate_y,n_total_di,n_total_el,par_child_feels_safe,par_tch_stop_bully,par_num_responses,tch_i_feel_safe,tch_rules_enforced,tch_num_responses,ocr_firearm_num,ocr_rape,ocr_sex_assault,ocr_robw_weapon,ocr_robw_firearm,ocr_rob_no_weapon,ocr_phys_attachw_weapon,ocr_phys_attackw_firearm,ocr_phys_attach_no_weapon,ocr_threat_phys_attachw_weapon,ocr_threat_phys_attackw_firearm,ocr_threat_phys_attach_no_weapon,ocr_in_school_suspension,ocr_out_of_school_suspension,ocr_expelled,ocr_arrests_referrals,ocr_bully_harass,ocr_violent_all,ocr_nonviolent_all,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,gender_missing,schoolid,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,pct_el,pct_non_el,pct_disabilities,pct_non_di
2018,Abbeville County School District,0160999,400 Greenville St,Abbeville,SC,29620,PK-12,2924,864-366-5427,acsdsc.org,Dr. Mason Gary,Brad Evans,223,Abbeville 60,D,49.7,16,62.7,11.5,64.7,NA,13.1,63.1,44.2,30.4,25.3,79.3,63.599999999999994,21.7,14.7,53.5,42.400000000000006,17.1,30,16.6,18,18.6,18.4,5.8,18.1,33.3,39.8,72.6,10.8,4.3,67.7,52.1,83.870967742,86.259541985,79.268292683,-1,NA,-1,1.6,92.3,64.1,NA,47735,87.1,12.6,NA,1,100,50,1.8,7.9,69.05,57.7,75387,NA,7.9,NA,NA,83.6,66,258,97.9,97,97,0,0,0,0,0,0,0,0,2,0,0,21,NA,NA,NA,NA,NA,0,23,2986,1414,1572,1018,1844,0,0160999,124,47.35432016075017,52.64567983924984,0,34.09243134628265,61.754855994641666,4.152712659075687,NA,NA,NA,NA
2019,Abbeville County School District,0160999,400 Greenville St,Abbeville,SC,29620,PK-12,2924,864-366-5427,acsdsc.org,Dr. Mason Gary,Brad Evans,223,Abbeville 60,D,52.5,18.6,59.9,11.8,63.7,NA,15.4,67.1,43.900000000000006,34.2,21.9,75.9,61.599999999999994,26.5,11.8,55.5,38.2,29.4,29.4,17.3,18.8,18.8,18.7,5.8,18.5,23.2,38.4,81.8,20.2,8.1,71.7,58.7,83.544303797,84.666666667,81.927710843,-1,NA,-1,1.8,90.7,65.6,NA,50602,95,11.3,NA,2,100,50,1.9,13.7,68.98,57,76236,9609,NA,NA,NA,90.3,69.5,321,90.89999999999999,98.19999999999999,221,0,0,0,0,0,0,0,0,0,0,0,11,31,228,0,0,5,0,11,3006,1417,1589,1020,1865,0,NA,119,47.13905522288756,52.86094477711244,0,33.93213572854291,62.04258150365934,3.9587491683300065,NA,NA,NA,NA
2019,Abbeville County School District,0160999,400 Greenville St,Abbeville,SC,29620,PK-12,2924,864-366-5427,acsdsc.org,Dr. Mason Gary,Brad Evans,223,Abbeville 60,D,52.5,18.6,59.9,11.8,63.7,NA,15.4,67.1,43.900000000000006,34.2,21.9,75.9,61.599999999999994,26.5,11.8,55.5,38.2,29.4,29.4,17.3,18.8,18.8,18.7,5.8,18.5,23.2,38.4,81.8,20.2,8.1,71.7,58.7,83.544303797,84.666666667,81.927710843,-1,NA,-1,1.8,90.7,65.6,NA,50602,95,11.3,NA,2,100,50,1.9,13.7,68.98,57,76236,9609,NA,NA,NA,90.3,69.5,321,90.89999999999999,98.19999999999999,221,0,0,0,0,0,0,0,0,0,0,0,11,31,228,0,0,5,0,11,3006,1417,1589,1020,1865,0,NA,119,47.13905522288756,52.86094477711244,0,33.93213572854291,62.04258150365934,3.9587491683300065,NA,NA,NA,NA
2021,Abbeville County School District,0160999,400 Greenville St,Abbeville,SC,29620,PK-12,2924,864-366-5427,acsdsc.org,Dr. Mason Gary,Brad Evans,223,Abbeville 60,D,44,24.7,45.7,22.7,43.1,NA,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,45.5,68.3,24.8,1.5,58.4,40.5,88.613861386,87.878787879,89.0625,-1,NA,-1,0.6,90.6,64.9103139013453,11.7,50473.7758,NA,13.7,18.6,1,100,100,2.1,4.7,69.3,56.3,80294,NA,4.7,425,72,90.7,64.4,456,97.3,80.8,80.8,1,0,0,0,0,0,0,0,0,0,0,14,46,269,0,1,2,0,14,2926,1388,1538,990,1806,0,NA,130,47.43677375256323,52.56322624743678,0,33.83458646616541,61.72248803827751,4.442925495557074,2.462380300957592,97.53761969904241,14.534883720930234,85.46511627906976
2017,Abbeville County School District,0160999,400 Greenville St,Abbeville,SC,29620,PK-12,2924,864-366-5427,acsdsc.org,Dr. Mason Gary,Brad Evans,223,Abbeville 60,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,87.755102041,87.179487179,90.14084507,-1,-1,-1,3.2,NA,65.5,NA,48089,NA,7.7,0,3,NA,NA,2.9,NA,68.1,51.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3002,1436,1566,1085,1849,NA,NA,68,47.834776815456365,52.16522318454364,NA,36.14257161892072,61.59227181878747,2.2651565622918057,NA,NA,NA,NA
2020,Abbeville County School District,0160999,400 Greenville St,Abbeville,SC,29620,PK-12,2924,864-366-5427,acsdsc.org,Dr. Mason Gary,Brad Evans,223,Abbeville 60,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6,85.572139303,86.046511628,86.363636364,-1,-1,-1,0.5,90.7,62.6,4.4,51221,NA,14.6,27.7,1,100,60,2.4,5.6,69.4,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,2,0,0,19,70,270,0,0,13,0,21,2956,1405,1551,1020,1814,0,NA,122,47.53044654939107,52.46955345060893,0,34.50608930987821,61.36671177266576,4.127198917456021,NA,NA,NA,NA
2018,Aiken County Public School District,0201999,1000 Brookhaven Drive,Aiken,SC,29803,PK-12,22538,803-641-2428,http://www.acpsd.net,Mr. King Laurence,Dr. John Bradley,1546,Aiken 01,D,37.4,28.9,37.1,32.5,47.5,NA,25,56.9,32.2,39.8,28,68,45.8,35,19.2,65.2,50.4,27.6,23.3,17.6,19.3,18.9,19.1,5.9,18.8,35.2,43.7,74.4,8.8,2.2,68.8,53.9,88.971962617,91.803278689,84.210526316,91.2,-1,100,1,88.8,55.8,0,51305,86.5,18.2,NA,3,100,31,1.9,12.2,62.67,58.3,81742,NA,12.2,NA,NA,81.4,64.5,1853,88.9,93,93,2,0,11,0,0,0,0,0,95,0,0,606,NA,NA,NA,NA,NA,11,701,24295,11658,12632,8278,12321,5,0201999,3696,47.985182136242024,51.994237497427456,0.020580366330520683,34.072854496810045,50.714138711669065,15.21300679152089,NA,NA,NA,NA
2019,Aiken County Public School District,0201999,1000 Brookhaven Drive,Aiken,SC,29803,PK-12,22538,803-641-2428,http://www.acpsd.net,Mr. King Laurence,Dr. John Bradley,1546,Aiken 01,D,42.4,27.7,40.8,29.3,53,NA,23.5,61.6,36.2,39.3,24.5,58.3,40.2,37,22.8,57.9,44.3,32.5,27.5,16.9,18.3,18.2,18.4,5.5,18.1,22.3,40,78.5,10,2.4,73.7,54.3,91.342534504,92.235294118,89.401709402,92.5,95,100,1.8,86.9,55.8,NA,52134,93.8,20.8,NA,4,100,35,1.9,16.7,65.47,57.2,83214,8988,NA,NA,NA,82.70000000000002,64.5,1917,77,95.5,1450,6,0,12,0,0,0,0,0,111,1,0,592,4444,3169,11,31,219,13,703,23805,11475,12330,8017,12004,0,NA,3784,48.20415879017013,51.79584120982986,0,33.67779878176854,50.426381012392355,15.89582020583911,NA,NA,NA,NA
2019,Aiken County Public School District,0201999,1000 Brookhaven Drive,Aiken,SC,29803,PK-12,22538,803-641-2428,http://www.acpsd.net,Mr. King Laurence,Dr. John Bradley,1546,Aiken 01,D,42.4,27.7,40.8,29.3,53,NA,23.5,61.6,36.2,39.3,24.5,58.3,40.2,37,22.8,57.9,44.3,32.5,27.5,16.9,18.3,18.2,18.4,5.5,18.1,22.3,40,78.5,10,2.4,73.7,54.3,91.342534504,92.235294118,89.401709402,92.5,95,100,1.8,86.9,55.8,NA,52134,93.8,20.8,NA,4,100,35,1.9,16.7,65.47,57.2,83214,8988,NA,NA,NA,82.70000000000002,64.5,1917,77,95.5,1450,6,0,12,0,0,0,0,0,111,1,0,592,4444,3169,11,31,219,13,703,23805,11475,12330,8017,12004,0,NA,3784,48.20415879017013,51.79584120982986,0,33.67779878176854,50.426381012392355,15.89582020583911,NA,NA,NA,NA
2021,Aiken County Public School District,0201999,1000 Brookhaven Drive,Aiken,SC,29803,PK-12,22538,803-641-2428,http://www.acpsd.net,Mr. King Laurence,Dr. John Bradley,1546,Aiken 01,D,38,31.1,31,39.1,39.6,NA,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,35.6,65.8,13.5,1.4,58.4,38.7,90.485436893,92.25,87.256637168,92.156862745,90.909090909,100,2.4,88,58.6626650970855,18.4,54700.6146520147,NA,17.5,42.3,1,100,100,1.5,9.5,64.1,57.4,88626,NA,9.5,3531,2206,86.4,60,1837,96.6,82.1,82.1,3,0,5,0,0,0,0,0,27,0,0,122,1707,1418,2,17,74,5,149,22477,10904,11573,7571,10636,0,NA,4270,48.51181207456511,51.48818792543489,0,33.68332072785514,47.31948213729591,18.997197134848957,9.787913745673974,90.21208625432602,15.66687372437661,84.33312627562339
2017,Aiken County Public School District,0201999,1000 Brookhaven Drive,Aiken,SC,29803,PK-12,22538,803-641-2428,http://www.acpsd.net,Mr. King Laurence,Dr. John Bradley,1546,Aiken 01,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,89.9494311,91.733639495,86.340640809,94.897959184,-1,93.333333333,2,NA,57.3,NA,50946,NA,16.3,48.152173913,2,NA,NA,1.8,NA,61.6,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24527,11805,12722,9042,12689,NA,NA,2796,48.13063154890529,51.86936845109471,NA,36.86549516858972,51.73482284828964,11.399681983120642,NA,NA,NA,NA
2020,Aiken County Public School District,0201999,1000 Brookhaven Drive,Aiken,SC,29803,PK-12,22538,803-641-2428,http://www.acpsd.net,Mr. King Laurence,Dr. John Bradley,1546,Aiken 01,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,91.210191083,94.166666667,88.53974122,85.350318471,-1,91.304347826,2,88,56.6,13,54433,NA,19.1,33.2,1,100,27,1.8,17.4,63.5,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,13,0,0,0,0,0,69,0,0,348,3356,2502,43,20,156,14,417,24024,11595,12429,8010,11833,0,NA,4181,48.264235764235764,51.735764235764236,0,33.341658341658345,49.25491175491176,17.403429903429902,NA,NA,NA,NA
2018,Allendale County Schools,0301999,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,1071,8035844603,https://www.acs.k12.sc.us/,Dr. Margaret Gilmore,Not applicable,79,Allendale 01,D,15.5,54.9,18.1,55.5,18,NA,57.3,19.8,NA,25.8,66.3,30.7,11.9,44.5,43.6,17.8,7,36.6,70.3,12.3,15,13.3,14.3,5,17.9,4.3,20.4,36.6,8.6,0,30.1,NA,74.257425743,-1,73.195876289,-1,NA,NA,3.4,79.1,53,NA,47682,85.3,2.1,NA,1,100,100,2.7,19.5,92.76,46.3,75224,NA,19.5,NA,NA,57.4,55,109,90.6,84.3,84.3,4,0,0,0,0,0,0,0,0,0,0,65,NA,NA,NA,NA,NA,0,65,1142,568,574,1071,32,0,0301999,39,49.73730297723292,50.26269702276708,0,93.78283712784588,2.8021015761821366,3.4150612959719786,NA,NA,NA,NA
