district,school,district_id,street,city,state,zip,gradespan,enrollment,hdphone,url,supername,chair,teacher_count,district_alt
"Abbeville
County School
District","Abbeville County School
District",0160999,400 Greenville St,Abbeville,SC,29620,PK-12,2924,864-366-5427,acsdsc.org,"Dr. Mason
Gary",Brad Evans,223,Abbeville 60
"Aiken County
Public School
District","Aiken County Public School
District",0201999,"1000 Brookhaven
Drive",Aiken,SC,29803,PK-12,22538,803-641-2428,http://www.acpsd.net,"Mr. King
Laurence","Dr. John
Bradley",1546,Aiken 01
"Allendale
County Schools",Allendale County Schools,0301999,"3249 Allendale-Fairfax
Hwy",Fairfax,SC,29827,PK-12,1071,8035844603,https://www.acs.k12.sc.us/,"Dr. Margaret
Gilmore",Not applicable,79,Allendale 01
"Anderson
School District
One","Anderson School District
One",0401999,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10116,8648477344,https://www.anderson1.org,"Mr. G. Robbie
Binnicker","Mrs. Nancy
Upton",615,Anderson 01
"Anderson
School District
Two","Anderson School District
Two",0402999,10990 BHP Hwy,Honea Path,SC,29654,PK-12,3404,864-369-7364,http://www.anderson2.org,"Donald
Andrews",Jimmy Ouzts,224,Anderson 02
"Anderson
School District
Three","Anderson School District
Three",0403999,335 West Front Street,Iva,SC,29655,PK-12,2549,864-348-6196,https://acsd3.org,Kathy D. Hipp,"Mr. Tripp
Bouknight",173,Anderson 03
"Anderson
District 4",Anderson District 4,0404999,315 East Queen Street,Pendleton,SC,29670,PK-12,2755,864-403-2000,https://www.anderson4.org/,"Dee
Christopher","Dr. Tom
Dobbins",193,Anderson 04
"Anderson
School District
Five","Anderson School District
Five",0405999,400 Pearman Dairy Rd,Anderson,SC,29621,PK-12,12771,864-260-5000,www.anderson5.net,"Thomas A.
Wilson","Rick
Bradshaw",850,Anderson 05
"Bamberg
School District 1",Bamberg School District 1,0501999,3830 Faust Street,Bamberg,SC,29003,PK-12,1194,803-245-3053,https://www.bamberg1.net,Dottie Brown,"Mrs. Janeth
Walker",90,Bamberg 01
"Bamberg
School District 2",Bamberg School District 2,0502999,Holly St,Denmark,SC,29042,PK-12,639,803-793-3346,https://sc02209464.schoolwires.net/,"Dr. Thelma
Sojourner","Beverly
Bonaparte",53,Bamberg 02
"Barnwell School
District 19",Barnwell School District 19,0619999,"446 Country Club
Road",Blackville,SC,29817,PK-12,565,803-284-5605,www.barnwell19.k12.sc.us,"David W.
Corder",Karen Jowers,34,Barnwell 19
"Williston School
District
(Barnwell 29)","Williston School District
(Barnwell 29)",0629999,12255 Main Street,Williston,SC,29853,PK-12,802,8032667878,www.williston.k12.sc.us,"Dr. Marcella
Shaw",Ronald Brown,58,Barnwell 29
"Barnwell School
District 45",Barnwell School District 45,0645999,770 Hagood Avenue,Barnwell,SC,29812,PK-12,2038,803-541-1300,https://www.barnwell45.org/,"Crystal
Stapleton","Rosey
Anderson",137,Barnwell 45
"Beaufort County
School District","Beaufort County School
District",0701999,PO Drawer 309,Beaufort,SC,29901,PK-12,21219,843-322-2300,http://beaufortschools.net/,"Dr. Frank
Rodriguez","Dr. Christina
Gwozdz",1710,Beaufort 01
"Berkeley County
School District","Berkeley County School
District",0801999,107 East Main Street,Moncks Corner,SC,29461,PK-12,36575,843-899-8600,http://www.bcsdschools.net/,"Dr. Eddie
Ingram","Mr. David
Barrow",2293,Berkeley 01
"Calhoun County
Schools",Calhoun County Schools,0901999,125 Herlong Avenue,Saint Matthews,SC,29135,PK-12,1590,8036557310,ccpsonline.net,"Dr. Steve
Aaron Wilson",Gary Porth,119,Calhoun 01
"Charleston
County School
District","Charleston County School
District",1001999,75 Calhoun Street,Charleston,SC,29401,PK-12,48330,843-937-6300,https://www.ccsdschools.com/,"Dr. Gerrita
Postlewait","Rev. Dr. Eric
Mack",3651,Charleston 01
"Cherokee
County School
District 1","Cherokee County School
District 1",1101999,141 Twin Lake Road,Gaffney,SC,29341,PK-12,7882,864-206-2201,www.cherokee1.org/home,Dr. Dana Fall,"Mr. Johnny
Sarratt",589,Cherokee 01
"Chester County
School District","Chester County School
District",1201999,"509 District Office
Drive",Chester,SC,29706,PK-12,4860,803-581-9500,https://www.chester.k12.sc.us/,"Dr. Antwon
Sutton","Mr. Doug
Shannon",370,Chester 01
"Chesterfield
County School
District","Chesterfield County School
District",1301999,401 West Blvd,Chesterfield,SC,29709,PK-12,6772,843-623-2175,https://www.chesterfieldschools.org,"J. Harrison
Goodwin","Wesley R.
Miles",478,Chesterfield 01
Clarendon 1,Clarendon 1,1401999,"PO Box 38
12 South
Church Street",Summerton,SC,29148,PK-12,654,8034852325,NA,"Barbara Ragin
Champagne",Tony Junious,46,Clarendon 01
"Clarendon
School District
Two","Clarendon School District
Two",1402999,15 Major Drive,Manning,SC,29102,PK-12,2604,803-435-4435,http://www.clarendon2.k12.sc.us,"Dr. Shawn
Johnson","Ethel W.
Sweat",150,Clarendon 02
Clarendon 3,Clarendon 3,1403999,"1177 Atkinson
Street
P.O. Drawer
270",TURBEVILLE,SC,29162,PK-12,1236,8436592188,clarendon3.org,"Connie J.
Dennis, Ph.D.","Jason
Newsome",78,Clarendon 03
"Colleton County
School District","Colleton County School
District",1501999,500 Forest Circle,WALTERBORO,SC,29488,PK-12,5138,8437824510,www.colleton.k12.sc.us,Mr. John Tidal,"Patricia
Simmons",325,Colleton 01
"Darlington
County School
District","Darlington County School
District",1601999,120 E Smith Avenue,Darlington,SC,29532,PK-12,9239,843-398-5100,www.darlington.k12.sc.us,"Dr. Timothy
Newman","Warren
Jeffords",660,Darlington 01
"Dillon School
District Three",Dillon School District Three,1703999,205 King Street,Lattta,SC,29565,PK-12,1546,843-752-7101,www.dillon3.k12.sc.us,"Dr John M.
Kirby, Jr.",Kyle Berry,77,Dillon 03
"Dillon School
District Four",Dillon School District Four,1704999,"1738 Highway 301
North",Dillon,SC,29536,PK-12,3901,843-774-1200,www.dillon.k12.sc.us,"D. Ray
Rogers","Earl Gleason,
Jr.",236,Dillon 04
"Dorchester
School District
Two","Dorchester School District
Two",1802999,115 Devon Road,Summerville,SC,29483,PK-12,24684,843-873-2901,https://www.ddtwo.org,"Joseph R.
Pye","Tanya
Robinson/Gail
Hughes",1596,Dorchester 02
"Dorchester
District Four",Dorchester District Four,1804999,500 Ridge St.,St. George,SC,29477,PK-12,2101,843-563-4535,https://www.dorchester4.k12.sc.us/home,"Dr. Kelvin
Wymbs","Mrs. Phyllis
Hughes",154,Dorchester 04
"Edgefield
County School
District","Edgefield County School
District",1901999,3 Par Drive,Johnston,SC,29832,PK-12,3207,803-275-4601,https://ecsd.edgefield.k12.sc.us/,"Dr. Kevin L.
O’Gorman","Mrs. Robin
Ball",249,Edgefield 01
"Fairfield County
School District","Fairfield County School
District",2001999,"1226 US Highway 321
By-Pass south",Winnsboro,SC,29180,PK-12,2414,803-635-4607,https://www.fairfield1.org/,Dr. J.R. Green,Henry Miller,255,Fairfield 01
"Florence One
Schools",Florence One Schools,2101999,319 South Irby Street,Florence,SC,29501,PK-12,15186,843-669-4141,www.f1s.org,"Richard
O'Malley",Porter Stewart,1165,Florence 01
"Florence County
School District 2","Florence County School
District 2",2102999,"2121 South Pamplico
Highway",Pamplico,SC,29583,PK-12,1094,843-493-2502,https://www.fsd2.org/,"Neal Vincent,
Ed.D.","Mr. Robert
Singletary",71,Florence 02
"Florence School
District Three","Florence School District
Three",2103999,125 S. Blanding St,Lake City,SC,29560,PK-12,3263,843-374-8652,125 S. Blanding St,"Dr. Laura
Hickson","Barbara
Bryant",232,Florence 03
Florence 4,Florence 4,2104999,"304 Kemper Street 
",Timmonsville,SC,29161,PK-12,681,843-346-3956,www.florence4.k12.sc.us,"Teresa
Gamble -
Executive
District
Administrator",Lille Joe,43,Florence 04
"Florence School
District Five","Florence School District
Five",2105999,156 East Marion Street,Johnsonville,SC,29555,PK-12,1180,843-386-2358,https://www.fsd5.org/,Randy Smiley,"Faith
Truesdale",86,Florence 05
"Georgetown
County School
District","Georgetown County School
District",2201999,2018 Church Street,Georgetown,SC,29440,PK-12,8479,843-436-7000,www.gcsd.k12.sc.us,"Mr. Keith
Price","Mr. Jim
Dumm",645,Georgetown 01
"The School
District Of
Greenville
County","The School District Of
Greenville County",2301999,"301 E. Camperdown
Way",Greenville,SC,29601,PK-12,74094,864-355-3100,www.greenville.k12.sc.us,"W. Burke
Royster, PhD","Lynda
Leventis-Wells",5032,Greenville 01
"Greenwood
School District
50","Greenwood School District
50",2450999,1855 Calhoun Road,Greenwood,SC,29649,PK-12,8646,864-941-5400,www.gwd50.org,"Dr. Steve
Glenn",Ken Cobb,614,Greenwood 50
"Ware Shoals
School District
51","Ware Shoals School
District 51",2451999,"56 S Greenwood
Ave",Ware Shoals,SC,29692,PK-12,934,8644567496,www.gwd51.org,"Dr. Fay
Sprouse","Mr. Shanon
Calvert",66,Greenwood 51
"Greenwood
School District
52","Greenwood School District
52",2452999,605 Johnston Road,Ninety Six,SC,29666,PK-12,1492,864-543-3100,www.greenwood52.org,"Dr. Rex S.
Ward","Mr. Jeff
Chapman",104,Greenwood 52
"Hampton
District One",Hampton District One,2501999,372 E Pine Street,Varnville,SC,29944,PK-12,1948,803-943-4576,www.hampton1.org,"Dr. Ronald
Wilcox","Phillip
Strother, Sr.",142,Hampton 01
Hampton 2,Hampton 2,2502999,NA,NA,NA,NA,PK-12,645,NA,NA,NA,NA,47,Hampton 02
"Horry County
Schools",Horry County Schools,2601999,335 Four Mile Road,Conway,SC,29577,PK-12,44479,843-488-6700,www.horrycountyschools.net,"Dr. Rick
Maxey","Ken
Richardson",3113,Horry 01
"Jasper County
School District","Jasper County School
District",2701999,"10942 N. Jacob Smart
Blvd.",Ridgeland,SC,29936,PK-12,2664,843-489-8892,www.jcsd.net,"Dr. Rechel
Anderson","Carolyn
Bolden",169,Jasper 01
"Kershaw County
School District","Kershaw County School
District",2801999,"2029 West DeKalb
Street",Camden,SC,29020,PK-12,10763,803-432-8416,www.kcsdschools.net,"Dr. Shane
Robbins","Dr. James P.
Smith",684,Kershaw 01
Lancaster,Lancaster,2901999,"300 South Catawba
Street",Lancaster,SC,29720,PK-12,13940,8032894885,www.lancastercsd.com,"Jonathan
Phipps",Robert Parker,904,Lancaster 01
"Laurens County
School District
55","Laurens County School
District 55",3055999,301 Hillcrest Drive,Laurens,SC,29360,PK-12,5333,864-984-3568,www.laurens55.org,"Dr. Ameca
Thomas","Mrs. Cathy
Little",388,Laurens 55
