district,school,school_id,gradespan,report_card_type_p_e_m_h_d,in_rc_main,in_hc,schooltypecd,in_rc_academic
"Abbeville
County School
District",Long Cane Primary,0160020,PK-2,P,TRUE,NA,NA,NA
"Allendale
County Schools",Fairfax Elementary School,0301006,PK-2,P,TRUE,NA,NA,NA
"Anderson
School District
One",Concrete Primary,0401006,PK-2,P,TRUE,NA,NA,NA
"Anderson
School District
Two",Marshall Primary School,0402015,PK-2,P,TRUE,NA,NA,NA
"Anderson
School District
Five","Homeland Park Primary
School",0405047,PK-2,P,TRUE,NA,NA,NA
"Barnwell School
District 45",Barnwell Primary School,0645011,PK-3,P,TRUE,NA,NA,NA
"Beaufort County
School District","Hilton Head Island Early
Childhood Center",0701031,PK-K,P,TRUE,NA,NA,NA
"Berkeley County
School District","Berkeley Elementary
School",0801011,PK-2,P,TRUE,NA,NA,NA
"Berkeley County
School District","Sangaree Elementary
School",0801023,PK-2,P,TRUE,NA,NA,NA
"Berkeley County
School District",Westview Primary,0801045,PK-2,P,TRUE,NA,NA,NA
"Charleston
County School
District","Mary Ford Early Learning
And Family Center",1001040,PK-K,P,TRUE,NA,NA,NA
"Charleston
County School
District",Midland Park Primary,1001058,PK-K,P,TRUE,NA,NA,NA
"Charleston
County School
District",Laurel Hill Primary,1001110,PK-2,P,TRUE,NA,NA,NA
"Cherokee
County School
District 1",Blacksburg Primary School,1101025,PK-2,P,TRUE,NA,NA,NA
"Chesterfield
County School
District",Cheraw Primary,1301012,PK-2,P,TRUE,NA,NA,NA
"Chesterfield
County School
District",Petersburg Primary School,1301019,PK-2,P,TRUE,NA,NA,NA
Clarendon 1,"Summerton Early
Childhood Center",1401022,PK-2,P,TRUE,NA,NA,NA
"Clarendon
School District
Two",Manning Primary School,1402012,2-3,P,TRUE,NA,NA,NA
"Clarendon
School District
Two","Manning Early Childhood
Center",1402014,PK-3,P,TRUE,NA,NA,NA
"Colleton County
School District","Black Street Early
Childhood Center",1501008,PK-K,P,TRUE,NA,NA,NA
"Darlington
County School
District",Pate Elementary School,1601018,PK-2,P,TRUE,NA,NA,NA
"Darlington
County School
District","Southside Early Childhood
Center",1601032,PK-K,P,TRUE,NA,NA,NA
"Dillon School
District Four",East Elementary School,1704007,PK-3,P,TRUE,NA,NA,NA
"Dillon School
District Four",South Elementary School,1704008,PK-3,P,TRUE,NA,NA,NA
"Dillon School
District Four","Stewart Heights
Elementary School",1704011,PK-3,P,TRUE,NA,NA,NA
"Florence School
District Three","Lake City Early Childhood
Center",2103050,PK-2,P,TRUE,NA,NA,NA
"Georgetown
County School
District","Waccamaw Elementary
School",2201024,PK-3,P,TRUE,NA,NA,NA
"Greenwood
School District
52",Ninety Six Primary School,2452028,PK-2,P,TRUE,NA,NA,NA
"Hampton
District One",Varnville Elementary,2501009,PK-3,P,TRUE,NA,NA,NA
"Hampton
District One",Ben Hazel Primary,2501018,PK-3,P,TRUE,NA,NA,NA
"Horry County
Schools","Myrtle Beach Early
Childhood School",2601072,PK-K,P,TRUE,NA,NA,NA
