district.x,school.x,school_id,type,e_pct_me_21,e_pct_me_17,change_over_time,percent_change_over_time
"Charleston
County School
District","Pattison's Academy For
Comprehensive Education",1001628,E,14.3,0,14.3,Inf
"Richland School
District Two","Kelly Mill Med Pro Middle
School",4002091,E,10.9,2.7,8.2,303.7037037037037
"Charleston
County School
District",Sanders-Clyde Elementary,1001076,E,12.1,3.2,8.899999999999999,278.12499999999994
Florence 4,Brockington Elementary,2104043,E,13.1,4.2,8.899999999999999,211.90476190476187
"Charleston
County School
District",James Simons Montessori,1001079,E,42.6,15.4,27.200000000000003,176.62337662337663
"Allendale
County Schools","Allendale Elementary
School",0301004,E,24.6,11.3,13.3,117.69911504424779
"Hampton
District One",Fennell Elementary School,2501010,E,22.6,11.2,11.400000000000002,101.7857142857143
"Spartanburg
School District
Three","Cowpens Elementary
School",4203030,E,51.9,28.799999999999997,23.1,80.20833333333334
"Charleston
County School
District",Carolina Voyager Charter,1001629,E,58.9,32.7,26.199999999999996,80.12232415902139
"Richland School
District One","Carver-Lyon Elementary
School",4001088,E,30.4,17,13.399999999999999,78.8235294117647
"Aiken County
Public School
District",Clearwater Elementary,0201024,E,47.2,26.5,20.700000000000003,78.11320754716982
Sumter Schools,Wilder,4301038,E,22.8,12.9,9.9,76.74418604651163
"Richland School
District One",Webber Elementary,4001064,E,40,22.7,17.3,76.2114537444934
"Charleston
County School
District","St. James Santee
Elementary-Middle",1001056,E,25.5,14.9,10.6,71.14093959731544
"Laurens County
School District
56","Joanna-Woodson
Elementary",3056022,E,31.4,18.4,13,70.65217391304348
"School District
Of Pickens
County","Crosswell Elementary
School",3901015,E,44.6,26.5,18.1,68.30188679245283
"South Carolina
Public Charter
School District","Felton Laboratory Charter
School",4701042,E,50,30.1,19.9,66.11295681063122
"Spartanburg
County School
District Six",Arcadia Elementary,4206057,E,18.1,10.9,7.200000000000001,66.05504587155964
"Clarendon
School District
Two","Manning Elementary
School",1402013,E,38.8,23.7,15.099999999999998,63.71308016877636
"Chesterfield
County School
District",Pageland Elementary,1301027,E,19,11.8,7.199999999999999,61.01694915254237
"School District
Of Pickens
County","Mckissick Academy Of
Science And Technology",3901029,E,34.5,21.7,12.8,58.986175115207374
"Richland School
District One","Watkins-Nance Elementary
School",4001092,E,22.8,14.4,8.4,58.333333333333336
"Spartanburg
School District
Two","Boiling Springs
Intermediate School",4202024,E,53.3,33.699999999999996,19.6,58.16023738872404
"Spartanburg
County School
District Six","Roebuck Elementary
School",4206086,E,37.5,23.9,13.600000000000001,56.903765690376574
"Spartanburg
School District
Two",Shoally Creek Elementary,4202090,E,60.5,38.599999999999994,21.900000000000006,56.73575129533681
"Richland School
District Two",Forest Lake Elementary,4002074,E,48.4,31,17.4,56.12903225806451
"The School
District Of
Greenville
County",Welcome Elementary,2301095,E,42.1,27.200000000000003,14.899999999999999,54.77941176470588
"Spartanburg
School District
Two","Cooley Springs-Fingerville
Elementary School",4202019,E,67.8,43.900000000000006,23.89999999999999,54.44191343963551
"Cherokee
County School
District 1",Alma Elementary School,1101005,E,26.7,17.3,9.399999999999999,54.33526011560693
"The School
District Of
Greenville
County",Grove Elementary School,2301104,E,27.3,17.8,9.5,53.37078651685393
