district,school,school_id,e_pct_me_21,pct_poverty_21,e_pct_me_17,change_over_time,percent_change_over_time
"Charleston
County School
District","Pattison's Academy For
Comprehensive Education",1001628,14.3,90.2439024390244,0,14.3,Inf
"Richland School
District Two","Kelly Mill Med Pro Middle
School",4002091,10.9,51.60075329566855,2.7,8.2,303.7037037037037
"Charleston
County School
District",Sanders-Clyde Elementary,1001076,12.1,97.41602067183463,3.2,8.899999999999999,278.12499999999994
Florence 4,Brockington Elementary,2104043,13.1,92.66055045871559,4.2,8.899999999999999,211.90476190476187
"Charleston
County School
District",James Simons Montessori,1001079,42.6,52.83505154639175,15.399999999999999,27.200000000000003,176.62337662337666
"Allendale
County Schools","Allendale Elementary
School",0301004,24.6,94.22222222222221,11.3,13.3,117.69911504424779
"Hampton
District One",Fennell Elementary School,2501010,22.6,88.18897637795276,11.2,11.400000000000002,101.7857142857143
"Spartanburg
School District
Three","Cowpens Elementary
School",4203030,51.9,79.54022988505747,28.799999999999997,23.1,80.20833333333334
"Richland School
District One","Carver-Lyon Elementary
School",4001088,30.4,84.3501326259947,17,13.399999999999999,78.8235294117647
"Aiken County
Public School
District",Clearwater Elementary,0201024,47.2,83.9572192513369,26.5,20.700000000000003,78.11320754716982
Sumter Schools,Wilder,4301038,22.8,86.71679197994987,12.9,9.9,76.74418604651163
"Richland School
District One",Webber Elementary,4001064,40,88.55721393034825,22.7,17.3,76.2114537444934
"Charleston
County School
District","St. James Santee
Elementary-Middle",1001056,25.5,90.04739336492891,14.9,10.6,71.14093959731544
"Laurens County
School District
56","Joanna-Woodson
Elementary",3056022,31.4,83.22368421052632,18.4,13,70.65217391304348
"School District
Of Pickens
County","Crosswell Elementary
School",3901015,44.6,78.37259100642399,26.5,18.1,68.30188679245283
"South Carolina
Public Charter
School District","Felton Laboratory Charter
School",4701042,50,74.65181058495823,30.1,19.9,66.11295681063122
"Spartanburg
County School
District Six",Arcadia Elementary,4206057,18.1,80.0925925925926,10.9,7.200000000000001,66.05504587155964
"Clarendon
School District
Two","Manning Elementary
School",1402013,38.8,90.83044982698962,23.7,15.099999999999998,63.71308016877636
"Chesterfield
County School
District",Pageland Elementary,1301027,19,84.26966292134831,11.799999999999999,7.200000000000001,61.01694915254239
"School District
Of Pickens
County","Mckissick Academy Of
Science And Technology",3901029,34.5,83.4061135371179,21.7,12.8,58.986175115207374
"Richland School
District One","Watkins-Nance Elementary
School",4001092,22.8,98.81656804733728,14.4,8.4,58.333333333333336
"Spartanburg
School District
Two","Boiling Springs
Intermediate School",4202024,53.3,60.71428571428571,33.699999999999996,19.6,58.16023738872404
"Spartanburg
County School
District Six","Roebuck Elementary
School",4206086,37.5,73.01387137452711,23.9,13.600000000000001,56.903765690376574
"Spartanburg
School District
Two",Shoally Creek Elementary,4202090,60.5,64.47166921898928,38.599999999999994,21.900000000000006,56.73575129533681
"Richland School
District Two",Forest Lake Elementary,4002074,48.4,64.56692913385827,31,17.4,56.12903225806451
"The School
District Of
Greenville
County",Welcome Elementary,2301095,42.1,93.02325581395348,27.200000000000003,14.899999999999999,54.77941176470588
"Spartanburg
School District
Two","Cooley Springs-Fingerville
Elementary School",4202019,67.8,70,43.900000000000006,23.89999999999999,54.44191343963551
"Cherokee
County School
District 1",Alma Elementary School,1101005,26.7,88.125,17.3,9.399999999999999,54.33526011560693
"The School
District Of
Greenville
County",Grove Elementary School,2301104,27.3,93.96825396825396,17.8,9.5,53.37078651685393
"Horry County
Schools",Daisy Elementary,2601021,41.7,83.0155979202773,27.4,14.300000000000004,52.18978102189783
"Kershaw County
School District",Bethune Elementary,2801011,42.6,91.59663865546219,28,14.600000000000001,52.142857142857146
"Bamberg
School District 1",Richard Carroll Elementary,0501006,36.2,83.02180685358256,23.9,12.300000000000004,51.464435146443535
"Cherokee
County School
District 1","Draytonville Elementary
School",1101010,33.8,84.65346534653465,22.4,11.399999999999999,50.89285714285714
"Richland School
District One",Logan Elementary School,4001045,38.8,76,25.8,12.999999999999996,50.387596899224796
"Richland School
District One",Gadsden Elementary,4001036,31.7,95.74468085106383,21.4,10.3,48.13084112149533
"Beaufort County
School District","Joseph S. Shanklin
Elementary",0701022,30.3,86.97788697788698,20.5,9.8,47.804878048780495
"Fairfield County
School District",Fairfield Elementary School,2001014,16.5,95.86466165413535,11.3,5.199999999999999,46.01769911504424
"Cherokee
County School
District 1","Luther Vaughan
Elementary",1101019,19.4,89.66565349544074,13.3,6.099999999999998,45.86466165413532
"Spartanburg
School District
Seven","The Cleveland Academy Of
Leadership",4207077,21.4,97.79411764705883,14.9,6.499999999999998,43.62416107382549
"Charleston
County School
District",Memminger Elementary,1001057,15.5,79.35483870967742,10.799999999999999,4.700000000000001,43.51851851851853
"Spartanburg
School District
Seven","Jesse W. Boyd Elementary
School",4207074,54.9,55.119825708061,38.400000000000006,16.499999999999993,42.96874999999998
"Charleston
County School
District","Malcolm C. Hursey
Montessori",1001070,39.8,58.37563451776649,27.900000000000002,11.899999999999995,42.65232974910392
"Beaufort County
School District",Red Cedar Elementary,0701034,53.9,60.75085324232082,37.8,16.1,42.592592592592595
"Fairfield County
School District","Fairfield Magnet School For
Math And Science",2001015,61.4,83.9622641509434,43.1,18.299999999999997,42.45939675174013
"Chesterfield
County School
District","Edwards Elementary
School",1301014,43,70.85714285714285,30.4,12.600000000000001,41.44736842105264
"Hampton
District One","Hampton Elementary
School",2501006,39.4,78.46607669616519,28,11.399999999999999,40.71428571428571
"Chesterfield
County School
District","Cheraw Intermediate
School",1301026,26.3,82.37885462555066,18.7,7.600000000000001,40.64171122994653
"South Carolina
Public Charter
School District","Lowcountry Montessori
School",4701037,48.4,50.306748466257666,34.8,13.600000000000001,39.08045977011495
"York School
District One",Jefferson Elementary,4601008,35.6,78.25,25.6,10,39.0625
"Aiken County
Public School
District","Ridge Spring-Monetta
Elementary School",0201059,27.8,89.73607038123167,20,7.800000000000001,39
"Darlington
County School
District","Rosenwald
Elementary/Middle School",1601020,18.2,87.96992481203007,13.2,5,37.878787878787875
"York School
District One","Hickory Grove Sharon
Elementary",4601045,40.2,65.87301587301587,29.2,11.000000000000004,37.67123287671234
"Anderson
School District
Three",Starr Elementary,0403026,60,67.42268041237114,43.6,16.4,37.61467889908256
"Spartanburg
School District
Two","Boiling Springs Elementary
School",4202015,57.8,56.930693069306926,42.3,15.5,36.643026004728135
"School District
Of Newberry
County","Whitmire Community
School",3601021,50,70.3862660944206,36.8,13.200000000000003,35.86956521739131
"School District
Of Pickens
County",West End Elementary,3901028,46.7,78.24620573355818,34.4,12.300000000000004,35.755813953488385
"Darlington
County School
District","St. John's Elementary
School",1601026,29.7,84.8,21.9,7.800000000000001,35.61643835616439
"Anderson
School District
One",Palmetto Elementary,0401004,46.6,68.55575868372942,34.4,12.200000000000003,35.465116279069775
"Beaufort County
School District","St. Helena Elementary
School",0701020,21.3,93.8375350140056,15.899999999999999,5.400000000000002,33.96226415094341
Lancaster,Buford Elementary School,2901012,50,65.45454545454545,37.4,12.600000000000001,33.68983957219252
