district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special
"Abbeville
County School
District",Abbeville 60,0160999,Abbeville High School,0160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,NA
"Abbeville
County School
District",Abbeville 60,0160999,Dixie High School,0160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,NA
"Abbeville
County School
District",Abbeville 60,0160999,"John C. Calhoun
Elementary School",0160007,E,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,NA
"Abbeville
County School
District",Abbeville 60,0160999,Wright Middle School,0160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,NA
"Abbeville
County School
District",Abbeville 60,0160999,Westwood Elementary,0160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,NA
"Abbeville
County School
District",Abbeville 60,0160999,Cherokee Trail Elementary,0160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA
"Abbeville
County School
District",Abbeville 60,0160999,Diamond Hill Elementary,0160019,E,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA
"Aiken County
Public School
District",Aiken 01,0201999,Silver Bluff High School,0201001,H,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,NA
"Aiken County
Public School
District",Aiken 01,0201999,Aiken High School,0201002,H,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,NA
"Aiken County
Public School
District",Aiken 01,0201999,South Aiken High School,0201003,H,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,NA
"Aiken County
Public School
District",Aiken 01,0201999,Jefferson Elementary,0201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,526,803-593-7180,www.acpsd.net/JES,Becky Wilson,39,NA
