district,school,school_id,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,year,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,len_str,tchreturn3yr_avg_pct_curr_yr,tchadvdegree_pct_curr_yr,tchinexperienced_pct_curr_yr,tchsalary_avg_curr_yr,tech_pct_class_wireless_curr_yr,tech_oneto_one_curr_yr,retained_pct_curr_yr,chronic_absenteeism_rate,gpercent_overall,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,percent_in_poverty
"Abbeville
County School
District",Abbeville High School,0160001,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,NA,2017,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,NA,NA,3.9,NA,88.13559322,475,209,266,225,235,NA,NA,NA,15,44,56.00000000000001,NA,47.368421052631575,49.473684210526315,3.1578947368421053,NA
"Abbeville
County School
District",Abbeville High School,0160001,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,NA,2018,H,NA,NA,NA,NA,NA,NA,NA,NA,93.8,57.6,5.9,45955,100,50,3.4,1.2,87.313432836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Abbeville High School,0160001,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,NA,2019,H,NA,NA,NA,NA,NA,NA,NA,NA,91.9,65.6,0,51193,100,0,1.5,20.9,84.962406015,464,232,232,215,227,NA,0,304,22,50,50,0,46.33620689655172,48.922413793103445,4.741379310344827,65.51724137931035
"Abbeville
County School
District",Abbeville High School,0160001,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,NA,2020,H,NA,NA,NA,NA,NA,NA,NA,NA,91.9,60,0,51261,100,0,2.7,15,83.486238532,438,221,217,211,206,NA,0,294,21,50.456621004566216,49.54337899543379,0,48.17351598173516,47.03196347031963,4.794520547945205,67.12328767123287
"Abbeville
County School
District",Abbeville High School,0160001,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,NA,2021,H,NA,NA,NA,NA,NA,NA,NA,NA,94.9,67.6470588235294,11.8,51231.72375,100,100,1.1,14.7,88.188976378,441,222,219,213,206,NA,0,293,22,50.34013605442177,49.65986394557823,0,48.29931972789115,46.71201814058957,4.988662131519274,66.43990929705215
"Abbeville
County School
District",Dixie High School,0160003,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,NA,2017,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48668,NA,NA,1.7,NA,87.179487179,422,203,219,72,344,NA,NA,NA,6,48.1042654028436,51.8957345971564,NA,17.061611374407583,81.51658767772511,1.4218009478672986,NA
"Abbeville
County School
District",Dixie High School,0160003,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,NA,2018,H,NA,NA,NA,NA,NA,NA,NA,NA,91.4,58.6,0,48022,100,50,1.6,9.8,78.313253012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Dixie High School,0160003,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,NA,2019,H,NA,NA,NA,NA,NA,NA,NA,NA,91.6,62.1,0,49858,100,100,2.8,13.9,81.730769231,432,199,233,51,370,NA,0,218,11,46.06481481481482,53.93518518518518,0,11.805555555555555,85.64814814814815,2.5462962962962963,50.46296296296296
"Abbeville
County School
District",Dixie High School,0160003,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,NA,2020,H,NA,NA,NA,NA,NA,NA,NA,NA,86.7,51.6,0,50201,100,100,2.8,11.5,88.043478261,432,212,220,40,376,NA,0,231,16,49.074074074074076,50.92592592592593,0,9.25925925925926,87.03703703703704,3.7037037037037033,53.47222222222222
"Abbeville
County School
District",Dixie High School,0160003,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,NA,2021,H,NA,NA,NA,NA,NA,NA,NA,NA,86.7,59.1666666666667,21.4,51158.0030769231,100,100,1.1,8.4,89.333333333,455,211,244,38,395,NA,0,241,22,46.37362637362637,53.62637362637363,0,8.35164835164835,86.81318681318682,4.835164835164836,52.96703296703297
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,NA,2017,E,40.199999999999996,13.8,50.5,13.8,NA,NA,NA,6,NA,NA,NA,49793,NA,NA,2.7,NA,NA,201,91,110,134,66,NA,NA,NA,1,45.27363184079602,54.72636815920397,NA,66.66666666666666,32.83582089552239,0.4975124378109453,NA
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,NA,2018,E,36.7,20.3,44.3,17.7,48.3,NA,20.7,7,94.9,93.3,0,49273,100,0,1.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,NA,2019,E,36.9,23.8,54.8,14.3,55.6,NA,7.4,7,94.9,93.3,0,52087,100,0,4.5,13.1,NA,177,74,103,104,53,NA,0,154,20,41.80790960451977,58.19209039548022,0,58.75706214689266,29.943502824858758,11.299435028248588,87.00564971751412
