report_card_year.x,district_nm.x,school_nm.x,schoolid,schooltypecd.x,tch_retention_18,tch_retention_21,change_over_time,percent_change_over_time
2021,"Aiken County Public
School District",Lloyd-Kennedy Charter,0201601,E,32.8,75,42.2,128.65853658536588
2021,"Rock Hill School District
(York 3)",The Palmetto School,4603602,E,66.7,100,33.3,49.925037481259366
2021,"Berkeley County School
District",Berkeley County Middle College High,0801051,H,61.1,91.7,30.6,50.08183306055647
2021,"Williamsburg County
School District",Ce Murray Middle School,4501027,M,37.3,67.5,30.200000000000003,80.96514745308312
2021,"Williamsburg County
School District","Kingstree Middle Magnet School Of
The Arts",4501007,M,46.8,76.5,29.700000000000003,63.46153846153847
2021,"Williamsburg County
School District",Ce Murray High School,4501012,H,51.6,78.5,26.9,52.131782945736425
2021,"Williamsburg County
School District",Kingstree High School,4501008,H,61.7,84.5,22.799999999999997,36.952998379254446
2021,Florence 4,Timmonsville High,2104041,H,62.9,84.4,21.500000000000007,34.181240063593016
2021,"Clover School District
(York 2)",Crowders Creek Elementary,4602051,E,71.7,93.2,21.5,29.9860529986053
2021,Horry County Schools,Ocean Bay Middle School,2601061,M,74.7,95.2,20.5,27.443105756358765
2021,"Richland School District
Two",Forest Lake Elementary,4002074,E,70.6,89.2,18.60000000000001,26.345609065155823
2021,"Beaufort County School
District",H. E. Mccracken Middle School,0701026,M,67.8,85.7,17.900000000000006,26.40117994100296
2021,Sumter Schools,Rafting Creek Elementary School,4301017,E,72.8,90.6,17.799999999999997,24.450549450549445
2021,"Mccormick County School
District",Mccormick Elementary School,3301003,E,62.8,80.4,17.60000000000001,28.025477707006385
2021,"Williamsburg County
School District",Hemingway M.B. Lee Middle School,4501025,M,65.2,82.5,17.299999999999997,26.53374233128834
2021,"School District Five Of
Lexington & Richland
Count",Chapin Intermediate School,3205050,E,74.5,90.8,16.299999999999997,21.87919463087248
2021,"Edgefield County School
District",Merriwether Middle School,1901010,M,71.7,87.6,15.899999999999991,22.17573221757321
2021,"Charleston County School
District",Northwoods Middle,1001030,M,63.3,78.7,15.400000000000006,24.328593996840453
2021,"Dorchester School District
Two",Knightsville Elementary School,1802007,E,69.9,85.3,15.399999999999991,22.03147353361944
2021,"South Carolina Public
Charter School District",Riverwalk Academy,4701033,E,66.3,81.4,15.100000000000009,22.775263951734555
2021,"Charleston County School
District",E.B. Ellington Elementary,1001059,E,66,81,15,22.727272727272727
2021,"Fairfield County School
District",Geiger Elementary,2001012,E,77.4,92.4,15,19.37984496124031
2021,Dorchester District Four,Harleyville-Ridgeville Middle School,1804022,M,59,73.9,14.900000000000006,25.2542372881356
2021,"Spartanburg School
District Two",James H Hendrix Elementary School,4202020,E,78.8,93.6,14.799999999999997,18.78172588832487
2021,Sumter Schools,Chestnut Oaks Middle,4301044,M,69.4,84,14.599999999999994,21.037463976945233
