district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
Abbeville County School District,Abbeville 60,0160999,Abbeville High School,0160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,,34.18729295,-82.37512602814299
Abbeville County School District,Abbeville 60,0160999,Dixie High School,0160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,,34.328243,-82.387977
Abbeville County School District,Abbeville 60,0160999,John C. Calhoun Elementary School,0160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,,34.103731350000004,-82.59765548642402
Abbeville County School District,Abbeville 60,0160999,Wright Middle School,0160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,,34.18642145,-82.40282005303362
Abbeville County School District,Abbeville 60,0160999,Westwood Elementary,0160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,,no_result,no_result
Abbeville County School District,Abbeville 60,0160999,Cherokee Trail Elementary,0160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,Donald O. Clendaniel III,28,,34.3641167,-82.35564697187262
Abbeville County School District,Abbeville 60,0160999,Diamond Hill Elementary,0160019,E,104 Lake Secession Road,Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,,34.2559676,-82.56481013387005
Aiken County Public School District,Aiken 01,0201999,Silver Bluff High School,0201001,H,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,,33.3946153,-81.7598026
Aiken County Public School District,Aiken 01,0201999,Aiken High School,0201002,H,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,,33.579376,-81.712565
Aiken County Public School District,Aiken 01,0201999,South Aiken High School,0201003,H,232 East Pine Log Road,Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,,33.52553527427836,-81.7138803532911
Aiken County Public School District,Aiken 01,0201999,Jefferson Elementary,0201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,526,803-593-7180,www.acpsd.net/JES,Becky Wilson,39,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Midland Valley High School,0201006,H,227 Mustang Drive,Graniteville,SC,29829,9-12,1255,803-593-7100,https://www.acpsd.net/Domain/21,Sheldon Higgenbottom,78,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Paul Knox Middle School,0201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,749,803-442-6300,https://www.acpsd.net/PKMS,Paige Day,39,,33.528113559491935,-81.97130087425717
Aiken County Public School District,Aiken 01,0201999,Langley-Bath-Clearwater Middle School,0201008,M,29 Lions Trail,Warrenville,SC,29851,6-8,636,803-593-7260,https://www.acpsd.net/LBC,Casey Rogers,38,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Leavelle Mccampbell Middle School,0201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,604,803-663-4300,https://www.acpsd.net/LMMS,Dr. Tiffany Turner Hall,37,,no_result,no_result
