ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,StudentsinPoverty_PctCurrYr,StudentsinPoverty_PctLastYr,TCHSALARY_AvgCurrYr,TCHSALARY_AvgLastYr,ExpendforInstruct_PctCurrYr,ExpendforInstruct_PctLastYr,ExpendforTchSalaries_PctCurrYr,ExpendforTchSalaries_PctLastYr,AdminSalary_CurrYr,AdminSalary_LastYr,StateLocalPersonnelPPE_CurrYr,StateLocalPersonnelPPE_LastYr,FedPersonnelPPE_CurrYr,FedPersonnelPPE_LastYr,StateLocalNonPersPPE_CurrYr,StateLocalNonPersPPE_LastYr,FederalNonPersonnelPPE_CurrYr,FederalNonPersonnelPPE_LastYr,TotalStateLocalPPE_CurrYr,TotalStateLocalPPE_LastYr,TotalFederalPPE_CurrYr,TotalFederalPPE_LastYr,TotalPPE_CurrYr,TotalPPE_LastYr
2019,Abbeville County School District,Abbeville High School,0160001,H,66.09,67.4,"$51,193","$45,955",,,,,"$76,236","$75,387","$9,078",N/A,$385,N/A,"$1,582",N/A,$139,N/A,"$10,661",N/A,$524,N/A,"$11,184",
2019,Abbeville County School District,Dixie High School,0160003,H,51.26,52.5,"$49,858","$48,022",,,,,"$76,236","$75,387","$8,328",N/A,$321,N/A,"$1,319",N/A,$123,N/A,"$9,647",N/A,$443,N/A,"$10,090",
2019,Abbeville County School District,John C. Calhoun Elementary School,0160007,E,88.44,86.6,"$52,087","$49,273",,,,,"$76,236","$75,387","$9,491",N/A,"$1,074",N/A,"$1,097",N/A,$228,N/A,"$10,588",N/A,"$1,302",N/A,"$11,889",
2019,Abbeville County School District,Wright Middle School,0160016,M,69.73,70.4,"$52,361","$48,903",,,,,"$76,236","$75,387","$7,900",N/A,$529,N/A,"$1,240",N/A,$166,N/A,"$9,140",N/A,$695,N/A,"$9,834",
2019,Abbeville County School District,Westwood Elementary,0160017,E,76.84,74.9,"$48,337","$46,621",,,,,"$76,236","$75,387","$6,620",N/A,$820,N/A,$934,N/A,$164,N/A,"$7,554",N/A,$984,N/A,"$8,538",
2019,Abbeville County School District,Cherokee Trail Elementary School,0160018,E,58.86,57.2,"$53,536","$49,168",,,,,"$76,236","$75,387","$6,794",N/A,$562,N/A,$816,N/A,$141,N/A,"$7,610",N/A,$703,N/A,"$8,313",
2019,Abbeville County School District,Cherokee Trail Elementary School,0160018,M,58.86,57.2,"$53,536","$49,168",,,,,"$76,236","$75,387","$6,794",N/A,$562,N/A,$816,N/A,$141,N/A,"$7,610",N/A,$703,N/A,"$8,313",
2019,Abbeville County School District,Diamond Hill Elementary,0160019,E,70.4,75.0,"$51,401","$47,976",,,,,"$76,236","$75,387","$7,154",N/A,$536,N/A,$985,N/A,$222,N/A,"$8,138",N/A,$757,N/A,"$8,896",
2019,Abbeville County School District,Diamond Hill Elementary,0160019,M,70.4,75.0,"$51,401","$47,976",,,,,"$76,236","$75,387","$7,154",N/A,$536,N/A,$985,N/A,$222,N/A,"$8,138",N/A,$757,N/A,"$8,896",
2019,Abbeville County School District,Long Cane Primary,0160020,P,84.95,81.9,"$47,005","$46,022",,,,,"$76,236","$75,387","$6,819",N/A,$921,N/A,$919,N/A,$247,N/A,"$7,737",N/A,"$1,168",N/A,"$8,905",
2019,Abbeville County School District,Abbeville County School District,0160999,D,68.98,69.1,"$50,602","$47,735",$57,$58,$51,$55,"$76,236","$75,387","$7,705",N/A,$604,N/A,"$1,127",N/A,$173,N/A,"$8,832",N/A,$777,N/A,"$9,609","$10,538"
2019,Aiken County Public School District,Silver Bluff High School,0201001,H,64.29,61.3,"$52,598","$50,346",,,,,"$83,214","$81,742","$8,101",N/A,$391,N/A,"$1,197",N/A,$319,N/A,"$9,298",N/A,$710,N/A,"$10,008",
2019,Aiken County Public School District,Aiken High School,0201002,H,61.04,61.7,"$53,879","$51,419",,,,,"$83,214","$81,742","$7,065",N/A,$394,N/A,"$1,052",N/A,$205,N/A,"$8,117",N/A,$599,N/A,"$8,716",
2019,Aiken County Public School District,South Aiken High School,0201003,H,44.52,42.9,"$53,840","$53,862",,,,,"$83,214","$81,742","$6,952",N/A,$572,N/A,$928,N/A,$214,N/A,"$7,879",N/A,$786,N/A,"$8,665",
2019,Aiken County Public School District,Jefferson Elementary,0201005,E,73.77,76.9,"$50,109","$49,797",,,,,"$83,214","$81,742","$7,394",N/A,$826,N/A,$761,N/A,$338,N/A,"$8,155",N/A,"$1,164",N/A,"$9,320",
2019,Aiken County Public School District,Midland Valley High School,0201006,H,63.71,61.3,"$51,943","$50,341",,,,,"$83,214","$81,742","$6,746",N/A,$311,N/A,$926,N/A,$195,N/A,"$7,672",N/A,$507,N/A,"$8,179",
2019,Aiken County Public School District,Paul Knox Middle School,0201007,M,55.14,52.0,"$50,603","$50,363",,,,,"$83,214","$81,742","$6,514",N/A,$439,N/A,$791,N/A,$264,N/A,"$7,305",N/A,$704,N/A,"$8,008",
2019,Aiken County Public School District,Langley-Bath-Clearwater Middle School,0201008,M,75.86,69.2,"$51,626","$50,041",,,,,"$83,214","$81,742","$6,638",N/A,$742,N/A,$824,N/A,$257,N/A,"$7,462",N/A,$999,N/A,"$8,461",
2019,Aiken County Public School District,Leavelle Mccampbell Middle School,0201009,M,68.72,64.5,"$50,226","$51,435",,,,,"$83,214","$81,742","$6,230",N/A,$390,N/A,"$1,026",N/A,$340,N/A,"$7,256",N/A,$730,N/A,"$7,986",
2019,Aiken County Public School District,New Ellenton Middle Steam Magnet School,0201010,M,70.47,70.0,"$50,400","$49,017",,,,,"$83,214","$81,742","$10,615",N/A,$772,N/A,"$1,124",N/A,$473,N/A,"$11,739",N/A,"$1,245",N/A,"$12,984",
2019,Aiken County Public School District,North Augusta Middle School,0201011,M,53.61,44.9,"$49,531","$51,076",,,,,"$83,214","$81,742","$6,728",N/A,$290,N/A,$849,N/A,$269,N/A,"$7,577",N/A,$558,N/A,"$8,135",
2019,Aiken County Public School District,North Augusta High School,0201012,H,45.5,42.4,"$53,533","$51,263",,,,,"$83,214","$81,742","$6,722",N/A,$341,N/A,"$1,017",N/A,$194,N/A,"$7,740",N/A,$535,N/A,"$8,275",
2019,Aiken County Public School District,Wagener-Salley High School,0201015,H,71.54,73.7,"$51,370","$51,145",,,,,"$83,214","$81,742","$13,038",N/A,$706,N/A,"$1,551",N/A,$331,N/A,"$14,589",N/A,"$1,037",N/A,"$15,626",
2019,Aiken County Public School District,Aiken Elementary School,0201016,E,68.72,63.9,"$53,493","$51,557",,,,,"$83,214","$81,742","$6,484",N/A,$673,N/A,$749,N/A,$373,N/A,"$7,233",N/A,"$1,047",N/A,"$8,279",
2019,Aiken County Public School District,Kennedy Middle School,0201017,M,48.82,43.2,"$54,172","$54,834",,,,,"$83,214","$81,742","$6,394",N/A,$626,N/A,$773,N/A,$194,N/A,"$7,167",N/A,$820,N/A,"$7,987",
2019,Aiken County Public School District,Belvedere Elementary,0201019,E,64,59.2,"$52,503","$51,939",,,,,"$83,214","$81,742","$6,549",N/A,$728,N/A,$710,N/A,$287,N/A,"$7,260",N/A,"$1,016",N/A,"$8,275",
