id,name,type
0160999,Abbeville County School District,district
0201999,Aiken County Public School District,district
0301999,Allendale County Schools,district
0401999,Anderson School District One,district
0402999,Anderson School District Two,district
0403999,Anderson School District Three,district
0404999,Anderson District 4,district
0405999,Anderson School District Five,district
0501999,Bamberg School District 1,district
0502999,Bamberg School District 2,district
0619999,Barnwell School District 19,district
0629999,Williston School District (Barnwell 29),district
0645999,Barnwell School District 45,district
0701999,Beaufort County School District,district
0801999,Berkeley County School District,district
0901999,Calhoun County Schools,district
1001999,Charleston County School District,district
1101999,Cherokee County School District 1,district
1201999,Chester County School District,district
1301999,Chesterfield County School District,district
1401999,Clarendon 1,district
1402999,Clarendon School District Two,district
1403999,Clarendon 3,district
1501999,Colleton County School District,district
1601999,Darlington County School District,district
1703999,Dillon School District Three,district
1704999,Dillon School District Four,district
1802999,Dorchester School District Two,district
1804999,Dorchester District Four,district
1901999,Edgefield County School District,district
2001999,Fairfield County School District,district
2101999,Florence One Schools,district
2102999,Florence County School District 2,district
2103999,Florence School District Three,district
2104999,Florence 4,district
2105999,Florence School District Five,district
2201999,Georgetown County School District,district
2301999,The School District Of Greenville County,district
2450999,Greenwood School District 50,district
2451999,Ware Shoals School District 51,district
2452999,Greenwood School District 52,district
2501999,Hampton District One,district
2502999,Hampton 2,district
2601999,Horry County Schools,district
2701999,Jasper County School District,district
2801999,Kershaw County School District,district
2901999,Lancaster,district
3055999,Laurens County School District 55,district
3056999,Laurens County School District 56,district
3101999,Lee County School District,district
3201999,Lexington County School District One,district
3202999,Lexington School District Two,district
3203999,Lexington County School District Three,district
3204999,Lexington School District Four,district
3205999,School District Five Of Lexington & Richland Count,district
3301999,Mccormick County School District,district
3410999,Marion County School District,district
3501999,Marlboro County School District,district
3601999,School District Of Newberry County,district
3701999,School District Of Oconee County,district
3809999,Orangeburg County School District,district
3901999,School District Of Pickens County,district
4001999,Richland School District One,district
4002999,Richland School District Two,district
4101999,Saluda,district
4201999,Spartanburg School District One,district
4202999,Spartanburg School District Two,district
4203999,Spartanburg School District Three,district
4204999,Spartanburg School District Four,district
4205999,Spartanburg School District 5,district
4206999,Spartanburg County School District Six,district
4207999,Spartanburg School District Seven,district
4301999,Sumter Schools,district
4401999,Union County Schools,district
4501999,Williamsburg County School District,district
4601999,York School District One,district
4602999,Clover School District (York 2),district
4603999,Rock Hill School District (York 3),district
4604999,Fort Mill School District - York 4,district
4701999,South Carolina Public Charter School District,district
4801999,Charter Institute At Erskine,district
5205999,Governor's School For Agriculture At John De La Howe,district
5207999,SC School For The Deaf And The Blind,district
5364999,SC Governor's School For The Arts And Humanities,district
5395999,SC Governor's School for Science and Mathematics,district
0160001,Abbeville High School,school
0160003,Dixie High School,school
0160007,John C. Calhoun Elementary School,school
0160016,Wright Middle School,school
0160017,Westwood Elementary,school
0160018,Cherokee Trail Elementary,school
0160019,Diamond Hill Elementary,school
0201001,Silver Bluff High School,school
0201002,Aiken High School,school
0201003,South Aiken High School,school
0201005,Jefferson Elementary,school
0201006,Midland Valley High School,school
0201007,Paul Knox Middle School,school
0201008,Langley-Bath-Clearwater Middle School,school
0201009,Leavelle Mccampbell Middle School,school
0201010,New Ellenton Middle Steam Magnet School,school
0201011,North Augusta Middle School,school
0201012,North Augusta High School,school
0201015,Wagener-Salley High School,school
0201016,Aiken Elementary School,school
0201017,Kennedy Middle School,school
0201019,Belvedere Elementary School,school
0201021,Byrd Elementary,school
0201022,J.D. Lever Elementary,school
0201024,Clearwater Elementary,school
0201027,East Aiken School Of The Arts,school
0201028,Schofield Middle School,school
0201029,Gloverville Elementary School,school
0201030,Greendale Elementary,school
0201031,Hammond Hill Elementary,school
0201033,Jackson Magnet Middle School,school
0201035,Millbrook Elementary,school
0201038,North Aiken Elementary School,school
0201039,North Augusta Elementary School,school
0201051,Cyril B. Busbee Elementary School,school
0201052,Warrenville Elementary,school
0201054,Oakwood-Windsor Elementary,school
