district_x,school_x,school_id,report_card_type_p_e_m_h_d,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,year,district_y,school_y,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races,lat,lon
Abbeville County School District,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34.0,0,,,,,,,,,,,,,,,,,,,,34.18729295,-82.37512602814299
Abbeville County School District,Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30.0,0,,,,,,,,,,,,,,,,,,,,34.328243,-82.387977
Abbeville County School District,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14.0,2018,Abbeville County School District,John C. Calhoun Elementary School,E,36.7,20.3,44.3,17.7,48.3,,20.7,,,,,,,,,,34.103731350000004,-82.59765548642402
Abbeville County School District,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14.0,2019,Abbeville County School District,John C. Calhoun Elementary School,E,36.9,23.8,54.8,14.3,55.6,,7.4,177.0,74.0,103.0,104.0,53.0,,0.0,154.0,20.0,34.103731350000004,-82.59765548642402
Abbeville County School District,Wright Middle School,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31.0,2018,Abbeville County School District,Wright Middle School,M,51.5,15.0,62.9,13.1,70.7,,13.4,,,,,,,,,,34.18642145,-82.40282005303362
Abbeville County School District,Wright Middle School,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31.0,2019,Abbeville County School District,Wright Middle School,M,57.1,14.8,58.2,10.7,63.7,,15.1,374.0,171.0,203.0,180.0,176.0,,0.0,256.0,18.0,34.18642145,-82.40282005303362
Abbeville County School District,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25.0,2018,Abbeville County School District,Westwood Elementary,E,45.7,19.3,65.5,10.1,52.5,,15.0,,,,,,,,,,no_result,no_result
Abbeville County School District,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25.0,2019,Abbeville County School District,Westwood Elementary,E,50.1,21.3,64.3,10.7,55.8,,23.1,356.0,168.0,188.0,165.0,171.0,,0.0,270.0,19.0,no_result,no_result
Abbeville County School District,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,Donald O. Clendaniel III,28.0,2018,Abbeville County School District,Cherokee Trail Elementary School,E,51.2,10.8,62.0,6.0,60.9,,10.1,,,,,,,,,,34.3641167,-82.35564697187262
Abbeville County School District,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,Donald O. Clendaniel III,28.0,2018,Abbeville County School District,Cherokee Trail Elementary School,M,53.2,10.8,69.4,9.9,71.7,,11.7,,,,,,,,,,34.3641167,-82.35564697187262
