district_id,district_alt,total_actively_enrolled_students,gender_female,gender_male,gender_missing,black_or_african_american,white,pupils_in_poverty,year,percent_pov_given,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,percent_in_poverty,report_card_year,district,school,report_card_type_p_e_m_h_d,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,supername,chair,teacher_count
160999,Abbeville 60,2926,1388,1538,0.0,990,1806,2042.0,2021,,130,47.43677375256323,52.56322624743678,0.0,33.83458646616541,61.72248803827751,4.442925495557074,69.78810663021189,2021.0,Abbeville County School District,Abbeville County School District,D,400 Greenville St,Abbeville,SC,29620.0,PK-12,2924.0,864-366-5427,acsdsc.org,Dr. Mason Gary,Dr. Mason Gary,Brad Evans,223.0
201999,Aiken 01,22477,10904,11573,0.0,7571,10636,14423.0,2021,,4270,48.51181207456511,51.48818792543489,0.0,33.68332072785514,47.31948213729591,18.99719713484896,64.16781598967833,2021.0,Aiken County Public School District,Aiken County Public School District,D,1000 Brookhaven Drive,Aiken,SC,29803.0,PK-12,22538.0,803-641-2428,http://www.acpsd.net,Mr. King Laurence,Mr. King Laurence,Dr. John Bradley,1546.0
301999,Allendale 01,1071,539,532,0.0,991,41,1007.0,2021,,39,50.326797385620914,49.673202614379086,0.0,92.53034547152194,3.828197945845005,3.6414565826330536,94.02427637721756,2021.0,Allendale County Schools,Allendale County Schools,D,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827.0,PK-12,1071.0,8035844603,https://www.acs.k12.sc.us/,Dr. Margaret Gilmore,Dr. Margaret Gilmore,Not applicable,79.0
401999,Anderson 01,10187,4998,5189,0.0,698,7936,5055.0,2021,,1553,49.06253067635221,50.93746932364779,0.0,6.851870030430941,77.90320997349563,15.244919996073428,49.62206734072838,2021.0,Anderson School District One,Anderson School District One,D,801 N. Hamilton Street,Williamston,SC,29697.0,PK-12,10116.0,8648477344,https://www.anderson1.org,Mr. G. Robbie Binnicker,Mr. G. Robbie Binnicker,Mrs. Nancy Upton,615.0
402999,Anderson 02,3385,1693,1692,0.0,504,2551,2221.0,2021,,330,50.014771048744464,49.985228951255536,0.0,14.889217134416544,75.36189069423929,9.748892171344163,65.61299852289513,2021.0,Anderson School District Two,Anderson School District Two,D,10990 BHP Hwy,Honea Path,SC,29654.0,PK-12,3404.0,864-369-7364,http://www.anderson2.org,Donald Andrews,Donald Andrews,Jimmy Ouzts,224.0
403999,Anderson 03,2536,1276,1260,0.0,225,2021,1817.0,2021,,290,50.315457413249206,49.6845425867508,0.0,8.872239747634069,79.69242902208202,11.43533123028391,71.64826498422713,2021.0,Anderson School District Three,Anderson School District Three,D,335 West Front Street,Iva,SC,29655.0,PK-12,2549.0,864-348-6196,https://acsd3.org,Kathy D. Hipp,Kathy D. Hipp,Mr. Tripp Bouknight,173.0
404999,Anderson 04,2714,1305,1409,0.0,387,2026,1573.0,2021,,301,48.08400884303611,51.91599115696389,0.0,14.25939572586588,74.6499631540162,11.090641120117906,57.95873249815771,2021.0,Anderson District 4,Anderson District 4,D,315 East Queen Street,Pendleton,SC,29670.0,PK-12,2755.0,864-403-2000,https://www.anderson4.org/,Dee Christopher,Dee Christopher,Dr. Tom Dobbins,193.0
405999,Anderson 05,12672,6197,6475,0.0,4139,6239,8402.0,2021,,2294,48.90309343434344,51.09690656565656,0.0,32.662563131313135,49.23453282828283,18.10290404040404,66.30366161616162,2021.0,Anderson School District Five,Anderson School District Five,D,400 Pearman Dairy Rd,Anderson,SC,29621.0,PK-12,12771.0,864-260-5000,www.anderson5.net,Thomas A. Wilson,Thomas A. Wilson,Rick Bradshaw,850.0
501999,Bamberg 01,1182,606,576,0.0,656,463,924.0,2021,,63,51.26903553299492,48.73096446700508,0.0,55.49915397631133,39.17089678510998,5.32994923857868,78.1725888324873,2021.0,Bamberg School District 1,Bamberg School District 1,D,3830 Faust Street,Bamberg,SC,29003.0,PK-12,1194.0,803-245-3053,https://www.bamberg1.net,Dottie Brown,Dottie Brown,Mrs. Janeth Walker,90.0
502999,Bamberg 02,640,333,307,0.0,609,12,604.0,2021,,19,52.03124999999999,47.96875,0.0,95.15625,1.875,2.96875,94.375,2021.0,Bamberg School District 2,Bamberg School District 2,D,Holly St,Denmark,SC,29042.0,PK-12,639.0,803-793-3346,https://sc02209464.schoolwires.net/,Dr. Thelma Sojourner,Dr. Thelma Sojourner,Beverly Bonaparte,53.0
