school_id,district,school,total_actively_enrolled_students,gender_female,gender_male,gender_missing,black_or_african_american,white,pupils_in_poverty,year,all_other_races
0160001,Abbeville 60,Abbeville High,441,222,219,0,213,206,293,2021,22
0160003,Abbeville 60,Dixie High,455,211,244,0,38,395,241,2021,22
0160007,Abbeville 60,John C Calhoun Elem,170,85,85,0,101,46,145,2021,23
0160016,Abbeville 60,Wright Middle,383,175,208,0,185,178,297,2021,20
0160017,Abbeville 60,Westwood Elem,331,154,177,0,166,151,255,2021,14
0160018,Abbeville 60,Cherokee Trail Elem,456,200,256,0,53,390,294,2021,13
0160019,Abbeville 60,Diamond Hill Elem,311,165,146,0,34,269,211,2021,8
0160020,Abbeville 60,Long Cane Primary,379,176,203,0,200,171,306,2021,8
0201001,Aiken 01,Silver Bluff High,617,293,324,0,251,281,391,2021,85
0201002,Aiken 01,Aiken High,1207,632,575,0,569,487,744,2021,151
0201003,Aiken 01,South Aiken High,1298,623,675,0,340,729,572,2021,229
0201005,Aiken 01,Jefferson Elem,546,253,293,0,110,316,395,2021,120
0201006,Aiken 01,Midland Valley High,1194,579,615,0,306,651,752,2021,237
0201007,Aiken 01,Paul Knox Middle,752,354,398,0,230,410,399,2021,112
0201008,Aiken 01,Lang Bath Clrwtr Middle,642,282,360,0,110,383,455,2021,149
0201009,Aiken 01,Leavelle Mccampbell Middle,611,299,312,0,212,284,396,2021,115
0201010,Aiken 01,New Ellenton Middle,276,137,139,0,83,138,168,2021,55
0201011,Aiken 01,North Augusta Middle,600,295,305,0,193,277,310,2021,130
0201012,Aiken 01,North Augusta High,1554,742,812,0,477,771,723,2021,306
0201015,Aiken 01,Wagener-Salley High,264,134,130,0,115,131,190,2021,18
0201016,Aiken 01,Aiken Elem,595,254,341,0,279,239,386,2021,77
0201017,Aiken 01,M B Kennedy Middle,700,351,349,0,224,350,402,2021,126
0201019,Aiken 01,Belvedere Elem,610,297,313,0,159,329,385,2021,122
0201021,Aiken 01,Byrd Elem,594,286,308,0,178,270,359,2021,146
0201022,Aiken 01,J D Lever Elem,473,241,232,0,171,213,365,2021,89
0201024,Aiken 01,Clearwater Elem,374,181,193,0,103,104,314,2021,167
0201027,Aiken 01,East Aiken School of the Arts,549,280,269,0,249,203,400,2021,97
0201028,Aiken 01,Schofield Middle,511,250,261,0,297,139,399,2021,75
0201029,Aiken 01,Gloverville Elem,326,161,165,0,73,201,233,2021,52
0201030,Aiken 01,Greendale Elem,376,198,178,0,135,143,296,2021,98
0201031,Aiken 01,Hammond Hill Elem,662,305,357,0,94,410,331,2021,158
0201033,Aiken 01,Jackson STEM Magnet Middle,367,172,195,0,145,183,257,2021,39
0201035,Aiken 01,Millbrook Elem,637,302,335,0,203,311,399,2021,123
0201038,Aiken 01,North Aiken Elem/Pinecrest Annex,470,232,238,0,331,60,436,2021,79
0201039,Aiken 01,North Augusta Elem,651,312,339,0,213,281,352,2021,157
0201051,Aiken 01,Cyril B. Busbee Elementary,442,213,229,0,188,210,368,2021,44
